TRINITY_DN71970_c6_g2_i4	Signal transduction mechanisms
TRINITY_DN71970_c6_g2_i5	Signal transduction mechanisms
TRINITY_DN71981_c6_g1_i1	Secondary metabolites biosynthesis, transport and catabolism
TRINITY_DN71981_c6_g1_i4	Secondary metabolites biosynthesis, transport and catabolism
TRINITY_DN71954_c2_g2_i2	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN71954_c2_g2_i4	Intracellular trafficking, secretion, and vesicular transport
TRINITY_DN71934_c7_g1_i1	RNA processing and modification
TRINITY_DN71934_c7_g1_i3	RNA processing and modification
TRINITY_DN71934_c7_g1_i5	RNA processing and modification
TRINITY_DN71934_c7_g1_i7	RNA processing and modification
TRINITY_DN71934_c7_g1_i8	RNA processing and modification
TRINITY_DN71979_c1_g1_i1	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i2	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i3	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i4	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i6	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i7	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i8	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i9	Signal transduction mechanisms
TRINITY_DN71979_c1_g1_i10	Signal transduction mechanisms
TRINITY_DN71965_c1_g1_i2	Carbohydrate transport and metabolism
TRINITY_DN71965_c1_g1_i7	Carbohydrate transport and metabolism
TRINITY_DN71901_c4_g1_i1	Energy production and conversion
TRINITY_DN71901_c4_g1_i2	Energy production and conversion
TRINITY_DN71901_c4_g1_i3	Energy production and conversion
TRINITY_DN71901_c4_g1_i4	Energy production and conversion
TRINITY_DN71901_c5_g1_i2	Replication, recombination and repair
TRINITY_DN71901_c5_g1_i5	Replication, recombination and repair
TRINITY_DN71958_c0_g2_i1	Transcription
TRINITY_DN71958_c0_g2_i2	Transcription
TRINITY_DN71958_c0_g2_i3	Transcription
TRINITY_DN71958_c0_g2_i4	Transcription
TRINITY_DN71958_c0_g2_i5	Transcription
TRINITY_DN71958_c1_g1_i1	Transcription
TRINITY_DN71958_c1_g1_i2	Transcription
TRINITY_DN71933_c2_g2_i1	Replication, recombination and repair
TRINITY_DN71933_c5_g3_i1	Posttranslational modification, protein turnover, chaperones
TRINITY_DN71933_c8_g1_i1	RNA processing and modification
TRINITY_DN71933_c8_g1_i2	RNA processing and modification
TRINITY_DN71933_c8_g1_i3	RNA processing and modification
TRINITY_DN71933_c8_g1_i4	RNA processing and modification
TRINITY_DN71933_c8_g1_i5	RNA processing and modification
TRINITY_DN71933_c8_g1_i6	RNA processing and modification
TRINITY_DN71933_c9_g1_i1	Translation, ribosomal structure and biogenesis
TRINITY_DN71933_c9_g1_i4	Translation, ribosomal structure and biogenesis
TRINITY_DN71933_c10_g1_i1	Signal transduction mechanisms
TRINITY_DN71933_c10_g1_i2	Signal transduction mechanisms
TRINITY_DN71933_c10_g1_i3	Signal transduction mechanisms
TRINITY_DN71933_c10_g1_i4	Signal transduction mechanisms
TRINITY_DN71971_c5_g4_i2	Lipid transport and metabolism
TRINITY_DN71971_c7_g1_i1	Extracellular structures
TRINITY_DN71971_c8_g2_i1	Transcription
TRINITY_DN71916_c3_g1_i1	Carbohydrate transport and metabolism
TRINITY_DN71916_c3_g1_i2	Carbohydrate transport and metabolism
TRINITY_DN71916_c3_g1_i3	Carbohydrate transport and metabolism
